Key,id
Dashboard,Dasbor
Default,Standar
Setup Currency,Atur Mata Uang
Campaigns,Kampanye
Events,Acara
Language created successfully!,Bahasa berhasil dibuat!
Transactions & Log,Transaksi & Log
Add Money Logs,Riwayat Tambah Uang
Pending Logs,Log Tertunda
Donation Logs,Log Donasi
User Care,Layanan Pengguna
Active Users,Pengguna Aktif
Email Unverified,Email Belum Terverifikasi
All Users,Semua Pengguna
Email To Users,Kirim Email ke Pengguna
Banned Users,Pengguna Diblokir
Admin Care,Layanan Admin
All Admin,Semua Admin
Admin Role,Peran Admin
Role Permission,Izin Peran
Email To Admin,Kirim Email ke Admin
Subscriber,Pelanggan
Contact Messages,Pesan Kontak
Settings,Pengaturan
Web Settings,Pengaturan Web
Basic Settings,Pengaturan Dasar
Image Assets,Aset Gambar
Setup SEO,Atur SEO
App Settings,Pengaturan Aplikasi
Splash Screen,Layar Pembuka
Onboard Screen,Layar Panduan
App URLs,URL Aplikasi
Languages,Bahasa
Verification Center,Pusat Verifikasi
Setup Email,Atur Email
Email Method,Metode Email
About Section,Bagian Tentang
Home Banner,Spanduk Utama
Testimonial Section,Bagian Testimoni
Video Section,Bagian Video
Partner Section,Bagian Partner
Footer Section,Bagian Footer
Breadcrumb Section,Bagian Breadcrumb
Gallery Section,Bagian Galeri
Contact Section,Bagian Kontak
Category Type,Jenis Kategori
Login Section,Bagian Login
Register Section,Bagian Daftar
Setup Pages,Atur Halaman
Topup,Isi Saldo
GDPR Cookie,Cookie GDPR
Server Info,Info Server
Clear Cache,Hapus Cache
Fees & Charges,Biaya & Ongkos
Trade Logs,Riwayat Perdagangan
Ongoing Logs,Log yang Sedang Berjalan
Complete Logs,Log Selesai
Close Request Pending,Permintaan Tutup Tertunda
Manual Money Out,Penarikan Uang Manual
Language Manager,Pengelola Bahasa
Trade Interval Charge and Fees,Biaya dan Ongkos Interval Perdagangan
Home,Beranda
Call Us,Hubungi Kami
Need Help? Contact our,Butuh Bantuan? Hubungi tim
support & tell us about your query.,dukungan & ceritakan masalahmu.
Feedback,Umpan Balik
Contributors,Kontributor
Tags,Tag
Recent Posts,Postingan Terbaru
EMAIL ADDRESS,ALAMAT EMAIL
SCHEDULE,JADWAL
